,id,name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,Term,Popularity
14997,759916486406528660,全新·Local生活便利·高层池景房•市区•BTS@ONNUT•可做饭•近莲花超市夜市B#434,Khlong Toei,13.71387,100.59207,Entire home/apt,1299,2,2022-12-13,2.0,48,High,2,Short,Populer
14998,759989340760783039,Spacious Standard Studio #ABC48 #Ladphrao,Huai Khwang,13.79415,100.58531,Entire home/apt,1253,0,1970-01-01,0.0,14,High,0,Short,Unpopuler
14999,759993716003954181,Spacious Deluxe Studio #ABC48 #Ladphrao,Huai Khwang,13.79393,100.58504,Entire home/apt,1286,3,2022-12-11,2.2,14,High,3,Short,Populer
15000,759996384556646824,Comfort 2Bedroom Apartment #ABC48 #Ladphrao,Huai Khwang,13.79228,100.58404,Entire home/apt,2106,2,2022-12-11,1.54,14,High,2,Short,Unpopuler
15001,759998899669218328,Comfort Deluxe 2Bedroom #ABC48 #Ladphrao,Huai Khwang,13.79427,100.58527,Entire home/apt,2507,1,2022-12-07,1.0,14,High,1,Short,Unpopuler
15002,760031829763589783,"คอนโดน่าอยู่ 
ติดสถานีรถไฟฟ้า MRT สีน้ำเงิน",Bang Phlat,13.79816,100.50632,Private room,920,1,2022-11-21,0.79,1,High,1,Short,Unpopuler
15003,760050388422917887,Free pick up&drop off @Amari(opposite Dmk airport),Don Mueang,13.92595,100.58443,Private room,650,5,2022-12-19,4.55,4,High,5,Short,Populer
15004,760408636399664954,B5 12 Luxury Condo in Heart of Bangkok,Khlong Toei,13.72609,100.56525,Entire home/apt,1585,1,2022-12-10,1.0,18,High,1,Short,Unpopuler
15005,757129100837484113,Studio Room near JODD Fair Rama9,Huai Khwang,13.756241481294849,100.56816905736925,Entire home/apt,1422,0,1970-01-01,0.0,1,Low,0,Short,Unpopuler
15006,760425812919739454,Ci house one,Parthum Wan,13.738290403131456,100.5204996004174,Private room,1350,3,2022-12-13,3.0,6,High,3,Short,Populer
15007,760434617592525433,HPZP_2104_Ploenchit&Nana BTS/roof pool/500mb WiFi,Khlong Toei,13.73325,100.5622,Entire home/apt,1879,4,2022-12-15,4.0,33,High,4,Short,Populer
15008,757139224434319445,I'M CHINA Town Resident  Watmungkorn MRT Bangkok,Pom Prap Sattru Phai,13.74129,100.51252,Entire home/apt,1557,0,1970-01-01,0.0,1,High,0,Short,Unpopuler
15009,760437084038344874,HPZP_217_Ploenchit&Nana BTS/roof pool/48sqm/500WFi,Khlong Toei,13.739769508811069,100.55187101787293,Entire home/apt,1776,2,2022-12-02,1.62,33,High,2,Short,Unpopuler
